sid,sex,born
102,M,1950
103,M,1950
105,M,1938
107,M,1944
113,F,NA
114,F,NA
115,M,1948
117,M,1938
118,M,1939
12,M,1931
121,M,1933
127,M,NA
131,M,1934
140,M,1930
144,M,1945
145,M,1938
154,M,1942
155,M,1945
159,F,NA
16,M,1939
176,M,1943
180,M,NA
19,M,NA
204,M,1940
208,M,1939
210,M,1930
212,F,1943
213,M,1928
219,M,1941
220,M,1943
226,M,1943
232,M,1941
237,M,1952
2394,F,1939
2405,M,1947
243,M,1936
2461,M,1943
250,M,1955
252,F,1954
2530,M,1945
256,M,1948
2564,M,1946
2681,F,1945
27,F,1953
2753,M,1959
288,M,1941
289,M,1957
293,M,1947
294,M,1959
298,M,1951
314,F,1949
316,M,1943
317,M,1962
321,F,1952
323,M,1941
33,M,1947
335,M,1939
339,M,1950
34,F,1946
351,F,1949
359,M,1959
3597,M,1959
361,F,NA
364,M,NA
37,M,1937
3714,M,1955
373,M,1940
374,M,1949
375,M,1948
3771,M,1945
38,M,1941
388,M,1956
39,M,1946
391,M,1946
393,M,1955
3937,M,1958
3938,F,NA
3939,F,1925
394,M,1955
3940,M,1963
3941,M,1959
3942,M,NA
3943,F,1958
3944,F,1960
3945,M,1949
3946,M,1948
3952,M,1962
3957,M,1963
3963,M,1966
3968,M,1951
397,M,1953
3977,F,NA
3979,M,1956
3982,F,1959
3983,F,1961
3989,M,1965
3991,F,1961
40,F,1937
4007,M,1961
4008,M,1950
4012,M,1965
4014,F,1950
4018,F,1957
4020,F,1940
4021,M,NA
4022,M,1944
4026,F,1956
4027,M,1947
4036,F,NA
404,M,1963
4077,M,1960
4084,M,1954
4090,F,1964
4091,M,1950
41,M,1949
4106,M,1955
4108,F,1961
411,M,1964
4112,M,1960
4115,M,1973
4116,M,1969
4117,F,1956
4118,M,1952
4119,F,1965
412,M,1951
4120,M,1957
4124,M,1940
4125,M,1944
4126,M,1958
413,M,1949
4135,F,1952
4140,M,1968
4147,M,1955
4149,F,1964
4151,F,1965
4156,F,1954
4160,F,1950
4164,F,1953
4169,F,1975
4179,M,1969
418,M,1943
419,M,1944
4193,M,1962
4195,M,1956
4199,F,1969
420,M,1953
421,M,1952
4211,M,1960
4212,M,1949
4213,M,1956
4214,M,1959
4215,M,1951
4216,M,1954
4217,M,1946
4219,M,1957
4220,M,1955
4221,M,NA
4222,M,1961
4225,M,1949
4234,F,1970
4238,M,1958
4239,M,1959
4258,M,1947
4259,M,1954
4264,F,1957
4265,M,1958
4272,M,1956
4273,F,1953
4280,M,1953
4283,M,1972
4284,M,1961
4285,M,1940
4286,M,1942
4287,F,1972
4288,M,1943
4289,M,NA
429,M,1880
4290,M,1969
4292,M,1953
4293,M,1967
4294,F,1962
4295,F,1962
4297,M,1967
4298,M,1953
4299,F,1975
4300,F,1960
4301,F,1951
4302,M,1940
4303,M,NA
4304,M,1976
4305,F,1966
4314,M,1959
4317,M,1951
4318,F,1966
4321,M,1954
4330,F,1951
4332,F,1968
4346,F,NA
4359,M,1962
4367,M,1954
4376,M,1942
4377,F,1965
4378,F,1977
4380,F,1971
4381,M,1942
4388,F,NA
4393,M,1958
4399,F,1954
4400,M,1952
4401,M,1969
4402,M,1953
4403,M,1974
4407,M,1958
4410,F,1971
4437,F,1978
4441,F,1961
4443,M,1958
4450,F,1970
4451,M,1973
4452,M,1983
4453,F,1953
4454,F,1948
4455,F,1976
4456,M,1960
4457,M,1952
4458,M,1969
4459,F,1968
4460,F,1967
4461,M,1938
4462,F,1962
4463,M,1970
4481,M,1971
4515,M,1946
4516,M,1959
4517,M,1971
4527,F,1969
4532,M,1965
4535,F,1973
4536,M,1964
4541,F,1965
4542,F,1976
4543,F,1973
4544,F,1966
4552,M,1978
4553,M,1953
4554,F,1976
4555,M,1973
4560,F,1967
4561,F,1976
4562,M,1972
4564,M,1971
4565,M,1975
4566,M,1970
4567,M,1975
4568,F,1959
4569,F,1961
4570,M,1956
4571,F,1960
4574,F,1968
4575,F,1973
4576,M,1944
4577,F,1979
4578,M,1954
4579,F,1975
4580,F,1973
4581,F,1971
4582,M,1969
4583,M,1980
4584,M,1951
4585,M,1970
4586,M,1968
4595,F,1959
4618,F,1959
4619,M,1968
4624,M,1972
4627,M,1968
4630,F,1977
4636,F,1971
4638,F,1969
4643,M,1964
4645,M,1959
4650,M,1954
4652,M,1957
4656,F,1952
4659,F,1967
4660,F,1964
4661,F,1967
4662,M,1973
4663,F,1979
4664,M,1951
4665,F,1987
4666,F,1961
4667,M,1983
4668,F,1959
4669,F,1965
4670,M,1955
4671,M,1969
4672,M,1971
4673,F,1969
4674,M,1983
4675,F,1975
4676,M,1972
4677,F,1958
4679,F,1959
4681,M,1948
4682,M,1965
4683,F,NA
4703,M,1963
4704,F,1953
4752,M,1981
49,M,1939
51,F,1942
580,M,1951
62,M,NA
66,M,1948
74,M,NA
77,M,1947
80,M,1929
86,M,NA
88,M,1951
90,M,1943
92,M,1932
993,M,1943
